City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,st. john's,47.5649,-52.7093,4.53,92,75,2.57,CA,1697598122
83,vorgashor,67.5833,63.95,2.04,96,100,4.41,RU,1697598143
84,constantia,44.1833,28.65,10.39,66,100,3.19,RO,1697598143
85,badger,64.8,-147.5333,1.14,85,100,1.54,US,1697598143
86,santa maria da vitoria,-13.3947,-44.1886,23.18,44,0,1.1,BR,1697598144
87,xiongzhou,25.1167,114.3,27.59,58,100,0.89,CN,1697598144
88,nago,26.5881,127.9761,28.03,52,1,3.04,JP,1697598144
89,katsuura,35.1333,140.3,21.2,72,81,2.59,JP,1697598145
90,wailua homesteads,22.0669,-159.378,28.24,74,13,2.35,US,1697598145
91,arkhangel'sk,64.5401,40.5433,3.96,78,100,5.18,RU,1697598145
92,vila franca do campo,37.7167,-25.4333,21.23,99,100,7.01,PT,1697598145
93,montevideo,-34.8335,-56.1674,11.01,66,20,5.66,UY,1697598101
94,thai binh,20.45,106.3333,29.17,56,88,3.69,VN,1697598146
95,paracuru,-3.41,-39.0306,26.73,78,98,6.32,BR,1697598146
96,sinabang,2.4803,96.3801,27.57,78,73,3.42,ID,1697598147
97,zonguldak,41.25,31.8333,10.07,90,100,1.05,TR,1697598147
98,vilyuchinsk,52.9306,158.4028,7.18,96,100,1.92,RU,1697598147
99,pisco,-13.7,-76.2167,19.03,88,0,6.69,PE,1697598148
100,bethel,41.3712,-73.414,11.2,82,46,1.53,US,1697598138
101,puerto santa,-8.9906,-78.6456,18.83,90,65,4.83,PE,1697598148
102,tamandare,-8.7597,-35.1047,23.35,84,99,3.27,BR,1697598149
103,vernon,50.2581,-119.2691,12.74,63,100,0.89,CA,1697598010
104,college,64.8569,-147.8028,1.71,86,100,1.54,US,1697598002
105,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697598149
106,berezovo,63.9381,65.0419,6.65,85,94,5.36,RU,1697598150
107,ocean city,39.2776,-74.5746,13.32,87,94,0.45,US,1697598038
108,mantua,45.1667,10.7833,11.86,77,100,1.34,IT,1697598150
109,jharsuguda,21.85,84.0333,25.95,68,6,1.55,IN,1697598151
110,vadso,70.0744,29.7487,1.49,80,40,5.66,NO,1697598151
111,rancho palos verdes,33.7445,-118.387,23.01,86,20,4.12,US,1697598044
112,dwarka,22.2394,68.9678,27.04,73,0,3.53,IN,1697598151
113,nuuk,64.1835,-51.7216,-4.66,58,0,8.23,GL,1697598152
114,kodiak,57.79,-152.4072,7.73,87,100,5.14,US,1697598152
115,praia da vitoria,38.7333,-27.0667,22.14,88,40,8.56,PT,1697598153
116,isafjordur,66.0755,-23.124,6.77,93,100,7.12,IS,1697598153
117,rio grande,-32.035,-52.0986,12.19,88,1,2.38,BR,1697598061
118,chibougamau,49.9168,-74.3659,0.79,93,0,0.0,CA,1697598141
119,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697598154
120,peterhead,57.5058,-1.7981,10.22,70,100,7.7,GB,1697598154
121,chu,43.5983,73.7614,13.11,47,10,2.78,KZ,1697598155
122,ushuaia,-54.8,-68.3,11.81,47,40,8.23,AR,1697598155
123,ribeira grande,38.5167,-28.7,22.1,93,100,8.94,PT,1697598155
124,constitucion,-35.3333,-72.4167,11.59,79,0,3.15,CL,1697598013
125,thames,-37.1333,175.5333,19.37,69,91,2.01,NZ,1697597997
126,puerto aysen,-45.4,-72.7,6.77,99,99,0.68,CL,1697598156
127,thinadhoo,0.5333,72.9333,27.08,80,88,4.92,MV,1697598157
128,usinsk,65.9939,57.5281,2.26,99,100,7.15,RU,1697598157
129,yaren,-0.5472,166.916,28.48,72,100,8.75,NR,1697598157
130,hithadhoo,-0.6,73.0833,27.24,77,13,5.66,MV,1697598157
131,tralee,52.2704,-9.7026,12.72,93,100,7.63,IE,1697597863
132,port augusta,-32.5,137.7667,28.08,14,0,1.24,AU,1697598156
133,shijiang,27.0819,110.7933,26.8,39,0,0.88,CN,1697598158
134,aasiaat,68.7098,-52.8699,-16.04,87,73,1.89,GL,1697598158
135,basco,20.4487,121.9702,27.22,72,100,7.79,PH,1697598159
136,severodvinsk,64.5635,39.8302,3.96,86,100,9.2,RU,1697598159
137,palu,-0.8917,119.8707,31.31,69,25,0.77,ID,1697598159
138,touros,-5.1989,-35.4608,25.05,76,39,6.69,BR,1697598160
139,port douglas,-16.4833,145.4667,25.65,71,76,6.34,AU,1697598160
140,tanout,14.9709,8.8879,27.93,22,29,4.32,NE,1697598160
141,longyearbyen,78.2186,15.6401,-6.09,68,40,5.66,SJ,1697598161
142,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1697598161
143,san rafael del yuma,18.4299,-68.6739,27.76,87,1,2.21,DO,1697598161
144,pangody,65.85,74.4859,4.47,93,99,5.67,RU,1697598162
145,ozersk,55.7556,60.7028,7.96,59,100,4.8,RU,1697598162
146,gaigeturi,33.4644,126.3183,20.03,68,0,2.57,KR,1697598162
147,kingston,17.997,-76.7936,29.53,88,20,3.09,JM,1697597977
148,tyukalinsk,55.8732,72.1967,8.89,76,74,4.34,RU,1697598163
149,georgetown,5.4112,100.3354,31.08,79,20,2.24,MY,1697597863
150,minas de marcona,-15.2119,-75.1103,16.0,81,95,3.76,PE,1697598163
151,doka,13.5167,35.7667,22.56,71,97,1.58,SD,1697598163
152,avarua,-21.2078,-159.775,24.03,64,20,6.69,CK,1697598075
153,thunder bay,48.4001,-89.3168,3.99,100,0,0.51,CA,1697598164
154,san antonio de pale,-1.4014,5.6325,25.17,82,93,2.89,GQ,1697598136
155,kittila,67.6647,24.8936,-6.92,93,0,3.6,FI,1697598164
156,labasa,-16.4167,179.3833,27.65,64,72,5.3,FJ,1697598165
157,olinda,-8.0089,-34.8553,24.85,73,40,4.63,BR,1697598038
158,huarmey,-10.0681,-78.1522,20.06,86,95,4.32,PE,1697598166
159,taoudenni,22.6783,-3.9836,29.49,15,0,3.26,ML,1697598166
160,akureyri,65.6835,-18.0878,5.0,87,97,5.12,IS,1697598166
161,utrik,11.2278,169.8474,28.03,80,87,7.91,MH,1697598166
162,nemuro,43.3236,145.575,14.11,59,27,4.93,JP,1697598045
163,revda,56.801,59.9303,5.25,56,98,5.44,RU,1697598167
164,worthington,40.0931,-83.018,11.86,81,100,3.09,US,1697598167
